arrival_date,arrival_date_day_of_month,arrival_date_week_number,arrival_month,arrival_year,avg_price_per_room,booking_id,booking_status,country,email,hotel,lead_time,market_segment_type,stays_in_week_nights,stays_in_weekend_nights
Unknown,6,28,,2015,117.63,Unknown,not cancelled,prt,kelly_d@aol.com,resort hotel,104,online ta,5,1
Unknown,6,28,,2015,73.0,Unknown,not cancelled,fra,robinson_mary34@att.com,resort hotel,80,direct,8,3
Unknown,15,29,,2015,148.23,Unknown,not cancelled,prt,jduncan@mail.com,resort hotel,57,groups,2,0
Unknown,23,30,,2015,0.0,Unknown,not cancelled,prt,chaseperry@yahoo.com,resort hotel,16,online ta,0,0
Unknown,1,31,,2015,233.0,Unknown,cancelled,prt,ahill@yandex.com,resort hotel,24,online ta,1,0
Unknown,2,32,,2015,162.5,Unknown,cancelled,prt,perez_bryan96@comcast.net,resort hotel,2,online ta,0,2
Unknown,18,34,,2015,176.64,Unknown,not cancelled,prt,robles.rodney@att.com,resort hotel,68,online ta,5,2
Unknown,28,35,,2015,115.0,Unknown,not cancelled,esp,gregorywilliams71@xfinity.com,resort hotel,30,direct,1,0
Unknown,28,35,,2015,179.0,Unknown,not cancelled,esp,joseph_brooks@att.com,resort hotel,23,direct,2,0
Unknown,31,36,,2015,87.75,Unknown,not cancelled,irl,brittany.m40@comcast.net,resort hotel,160,offline ta/to,7,3
Unknown,6,37,,2015,79.5,Unknown,not cancelled,gbr,lorimarshall@gmail.com,resort hotel,47,offline ta/to,4,2
Unknown,14,38,,2015,82.0,Unknown,not cancelled,gbr,debracaldwell@aol.com,resort hotel,135,offline ta/to,20,8
Unknown,24,39,,2015,80.1,Unknown,not cancelled,fra,kelly.harold75@att.com,resort hotel,64,online ta,3,0
Unknown,1,40,,2015,57.43,Unknown,not cancelled,irl,heatherporter@comcast.net,resort hotel,45,online ta,5,2
Unknown,10,41,,2015,4.0,Unknown,cancelled,prt,tyler_lowe@yandex.com,resort hotel,368,offline ta/to,5,2
Unknown,12,42,,2015,48.0,Unknown,not cancelled,prt,fisher.kimberly@mail.com,resort hotel,20,corporate,0,1
Unknown,23,43,,2015,58.0,Unknown,not cancelled,irl,holt_christian47@yandex.com,resort hotel,39,online ta,2,2
Unknown,31,44,,2015,46.65,Unknown,not cancelled,prt,tony_carter@xfinity.com,resort hotel,25,online ta,4,2
Unknown,10,46,,2015,47.7,Unknown,cancelled,prt,jackson.paul@outlook.com,resort hotel,42,direct,5,0
Unknown,5,49,,2015,55.92,Unknown,not cancelled,esp,taylor_christopher@yandex.com,resort hotel,113,offline ta/to,1,2
Unknown,19,51,,2015,80.0,Unknown,cancelled,prt,lauraanderson@yandex.com,resort hotel,93,groups,1,0
Unknown,1,1,,2016,73.46,Unknown,not cancelled,arg,vanessa.t74@outlook.com,resort hotel,88,online ta,2,0
Unknown,6,2,,2016,47.4,Unknown,not cancelled,bra,melissa.c@verizon.com,resort hotel,85,online ta,4,0
Unknown,1,10,,2016,81.0,Unknown,cancelled,prt,sphillips73@yahoo.com,resort hotel,45,groups,5,0
Unknown,7,11,,2016,41.4,Unknown,cancelled,prt,andrew.s@verizon.com,resort hotel,196,online ta,3,1
Unknown,28,14,,2016,96.0,Unknown,cancelled,prt,jennifer.md@yahoo.com,resort hotel,45,online ta,1,1
Unknown,9,15,,2016,63.5,Unknown,cancelled,prt,connor.s87@gmail.com,resort hotel,84,offline ta/to,4,2
Unknown,8,20,,2016,41.4,Unknown,cancelled,prt,simmons_anthony@att.com,resort hotel,59,offline ta/to,0,2
Unknown,16,21,,2016,85.0,Unknown,not cancelled,deu,anthony.p@comcast.net,resort hotel,213,groups,1,1
Unknown,24,22,,2016,60.0,Unknown,not cancelled,gbr,annette_nelson81@protonmail.com,resort hotel,223,groups,5,1
Unknown,9,24,,2016,119.0,Unknown,cancelled,prt,rodriguez_cheyenne@yahoo.com,resort hotel,59,online ta,3,0
Unknown,10,24,,2016,60.35,Unknown,cancelled,prt,kimberly_conley40@mail.com,resort hotel,240,direct,2,0
Unknown,13,25,,2016,72.0,Unknown,cancelled,prt,james_soto@verizon.com,resort hotel,205,online ta,5,2
Unknown,25,31,,2016,173.67,Unknown,cancelled,esp,asingleton92@mail.com,resort hotel,115,online ta,5,1
Unknown,6,32,,2016,180.0,Unknown,cancelled,prt,anna.t@aol.com,resort hotel,168,online ta,6,2
Unknown,18,34,,2016,288.0,Unknown,cancelled,deu,eaton_dana60@comcast.net,resort hotel,165,online ta,3,0
Unknown,7,37,,2016,89.0,Unknown,cancelled,prt,kimberlypeters@comcast.net,resort hotel,238,groups,3,0
Unknown,17,43,,2016,49.0,Unknown,cancelled,bel,dgomez@att.com,resort hotel,161,online ta,1,1
Unknown,18,43,,2016,63.67,Unknown,cancelled,esp,johnson_kenneth@yandex.com,resort hotel,41,online ta,3,0
Unknown,18,43,,2016,93.0,Unknown,cancelled,irl,brendakirk46@yandex.com,resort hotel,132,online ta,4,0
Unknown,3,45,,2016,73.8,Unknown,cancelled,prt,rebeccasmith87@xfinity.com,resort hotel,66,online ta,8,2
Unknown,24,52,,2016,37.8,Unknown,cancelled,mar,jason_l@gmail.com,resort hotel,79,online ta,3,2
Unknown,27,53,,2016,37.8,Unknown,cancelled,ita,archer_paul@verizon.com,resort hotel,135,online ta,2,0
Unknown,16,38,,2016,58.0,Unknown,not cancelled,unknown,jessica.s@gmail.com,resort hotel,1,corporate,1,0
Unknown,7,15,,2016,75.0,Unknown,not cancelled,unknown,roberts_curtis47@att.com,resort hotel,1,direct,3,0
Unknown,15,12,,2016,60.0,Unknown,not cancelled,unknown,maria_mathews71@att.com,resort hotel,3,online ta,5,0
Unknown,15,38,,2015,49.95,Unknown,cancelled,prt,lee_shawn71@gmail.com,resort hotel,222,groups,5,1
Unknown,22,13,,2016,53.0,Unknown,not cancelled,prt,austin.scott@yahoo.com,resort hotel,0,online ta,1,0
Unknown,15,33,,2015,119.7,Unknown,cancelled,prt,mark.r@hotmail.com,resort hotel,177,offline ta/to,5,2
Unknown,13,29,,2015,85.5,Unknown,not cancelled,prt,michelle.h58@att.com,resort hotel,237,online ta,3,1
Unknown,19,30,,2015,146.95,Unknown,not cancelled,prt,stephanie_lopez@comcast.net,resort hotel,37,direct,3,2
Unknown,24,30,,2015,195.0,Unknown,not cancelled,esp,mitchell_m74@mail.com,resort hotel,14,online ta,2,1
Unknown,4,36,,2015,110.7,Unknown,cancelled,prt,lcastaneda@mail.com,resort hotel,243,online ta,2,0
Unknown,3,40,,2015,36.05,Unknown,cancelled,prt,cschmitt@outlook.com,resort hotel,274,groups,5,2
Unknown,9,33,,2015,232.0,Unknown,not cancelled,esp,johngilbert91@mail.com,resort hotel,41,online ta,4,2
Unknown,1,36,,2015,120.71,Unknown,not cancelled,fra,anthonyfranklin56@mail.com,resort hotel,99,online ta,5,2
Unknown,4,36,,2015,132.19,Unknown,not cancelled,prt,james_b66@xfinity.com,resort hotel,243,offline ta/to,5,2
Unknown,9,37,,2015,97.5,Unknown,not cancelled,esp,margaretporter30@att.com,resort hotel,37,offline ta/to,3,0
Unknown,21,39,,2015,89.2,Unknown,not cancelled,bel,rebeccasimon@hotmail.com,resort hotel,262,groups,3,1
Unknown,22,39,,2015,97.0,Unknown,not cancelled,usa,warren.jose@verizon.com,resort hotel,81,online ta,4,0
Unknown,3,40,,2015,67.14,Unknown,not cancelled,gbr,hsalinas@mail.com,resort hotel,59,offline ta/to,5,2
Unknown,15,42,,2015,44.5,Unknown,not cancelled,gbr,david.johnson79@yandex.com,resort hotel,287,groups,3,1
Unknown,21,43,,2015,60.0,Unknown,not cancelled,fra,brandi_f@yandex.com,resort hotel,292,offline ta/to,2,0
Unknown,19,47,,2015,38.0,Unknown,not cancelled,prt,taylor_robert@xfinity.com,resort hotel,1,corporate,1,0
Unknown,24,48,,2015,48.0,Unknown,not cancelled,ukr,brianna.b@hotmail.com,resort hotel,1,online ta,1,0
Unknown,27,48,,2015,46.4,Unknown,not cancelled,che,sean.c@yahoo.com,resort hotel,1,online ta,2,0
Unknown,8,20,,2016,88.2,Unknown,cancelled,prt,gomez.joseph56@yahoo.com,resort hotel,159,online ta,2,2
Unknown,3,49,,2015,29.78,Unknown,not cancelled,prt,stephen.williams@zoho.com,resort hotel,1,corporate,1,0
Unknown,8,50,,2015,48.0,Unknown,not cancelled,prt,smason50@outlook.com,resort hotel,0,direct,1,0
Unknown,12,50,,2015,79.0,Unknown,not cancelled,prt,bstone64@aol.com,resort hotel,1,direct,1,0
Unknown,9,50,,2015,49.4,Unknown,not cancelled,esp,bowers.miguel@mail.com,resort hotel,23,offline ta/to,4,1
Unknown,15,51,,2015,34.0,Unknown,not cancelled,prt,maxwellbenson@protonmail.com,resort hotel,1,online ta,4,0
Unknown,23,52,,2015,107.5,Unknown,not cancelled,prt,joy.gonzales48@yahoo.com,resort hotel,0,online ta,2,0
Unknown,23,52,,2015,49.0,Unknown,not cancelled,irl,jones_mathew31@xfinity.com,resort hotel,47,offline ta/to,4,1
Unknown,3,2,,2016,39.15,Unknown,not cancelled,gbr,daniel_hamilton@att.com,resort hotel,32,offline ta/to,3,2
Unknown,8,2,,2016,48.0,Unknown,not cancelled,mar,steveburns@outlook.com,resort hotel,8,online ta,2,0
Unknown,15,3,,2016,48.0,Unknown,not cancelled,prt,brown_joshua@yahoo.com,resort hotel,3,online ta,1,0
Unknown,29,5,,2016,58.0,Unknown,not cancelled,prt,amber_griffin@protonmail.com,resort hotel,0,direct,1,0
Unknown,6,15,,2016,50.4,Unknown,cancelled,prt,bishop_thomas@aol.com,resort hotel,2,direct,2,0
Unknown,6,6,,2016,48.0,Unknown,not cancelled,prt,jbarber@yandex.com,resort hotel,1,online ta,1,0
Unknown,6,6,,2016,40.0,Unknown,not cancelled,prt,david.strickland@gmail.com,resort hotel,3,direct,1,0
Unknown,20,8,,2016,66.0,Unknown,not cancelled,esp,rebecca_jones@hotmail.com,resort hotel,2,online ta,1,0
Unknown,20,8,,2016,65.0,Unknown,not cancelled,prt,janice.james63@hotmail.com,resort hotel,5,direct,1,0
Unknown,28,10,,2016,31.45,Unknown,not cancelled,esp,dr..p@zoho.com,resort hotel,13,online ta,4,2
Unknown,18,12,,2016,37.0,Unknown,not cancelled,gbr,margaret_c22@yandex.com,resort hotel,27,offline ta/to,2,2
Unknown,24,13,,2016,85.0,Unknown,not cancelled,esp,sroberts@verizon.com,resort hotel,21,direct,3,0
Unknown,25,13,,2016,110.33,Unknown,not cancelled,gbr,chloewatson@aol.com,resort hotel,39,online ta,2,1
Unknown,6,15,,2016,65.0,Unknown,not cancelled,irl,elizabeth.d13@mail.com,resort hotel,8,online ta,4,1
Unknown,7,15,,2016,56.0,Unknown,not cancelled,prt,jliu53@protonmail.com,resort hotel,0,online ta,1,0
Unknown,7,15,,2016,74.7,Unknown,not cancelled,prt,joseph_s@verizon.com,resort hotel,52,direct,3,1
Unknown,6,15,,2016,63.0,Unknown,not cancelled,fra,tcampos@outlook.com,resort hotel,49,offline ta/to,5,2
Unknown,13,16,,2016,58.0,Unknown,not cancelled,ita,thomas.b@yahoo.com,resort hotel,57,online ta,2,0
Unknown,1,19,,2016,86.0,Unknown,not cancelled,fra,mary_paul@outlook.com,resort hotel,62,online ta,0,1
Unknown,6,19,,2016,88.0,Unknown,not cancelled,fra,wang.donald@zoho.com,resort hotel,102,online ta,2,0
Unknown,13,20,,2016,0.0,Unknown,not cancelled,prt,sandra.t@mail.com,resort hotel,115,offline ta/to,0,0
Unknown,16,21,,2016,42.0,Unknown,not cancelled,prt,ndavis72@comcast.net,resort hotel,11,direct,1,1
