hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,country,avg_price_per_room,email
Resort Hotel,1,118,2015,July,30,20,2,5,Online TA,PRT,179.1,Erica.Calderon@protonmail.com
Resort Hotel,0,5,2015,July,30,21,0,2,Corporate,PRT,99.5,Erika_G@zoho.com
Resort Hotel,1,23,2015,July,31,31,1,2,Direct,PRT,111.92,JLopez30@xfinity.com
Resort Hotel,0,45,2015,August,35,27,2,5,Offline TA/TO,IRL,75.53,LarryPadilla@protonmail.com
Resort Hotel,0,103,2015,August,36,30,2,1,Online TA,GBR,71.72,Seth_B@outlook.com
Resort Hotel,0,94,2015,September,37,6,2,5,Offline TA/TO,PRT,79.5,Stephenson_Ana97@comcast.net
Resort Hotel,1,29,2015,October,40,2,1,2,Direct,PRT,117.0,Charles_J@protonmail.com
Resort Hotel,0,54,2015,October,41,4,4,7,Offline TA/TO,GBR,78.2,GregoryLang@verizon.com
Resort Hotel,1,78,2015,October,41,9,1,2,Groups,ESP,92.0,Jennifer.C44@yahoo.com
Resort Hotel,0,7,2015,October,41,9,2,3,Offline TA/TO,ESP,73.68,PhillipNguyen@zoho.com
Resort Hotel,1,107,2015,October,43,21,2,5,Online TA,PRT,55.0,Catherine_C@comcast.net
Resort Hotel,0,0,2015,October,43,24,0,1,Direct,PRT,39.0,DAlvarado@outlook.com
Resort Hotel,0,105,2015,November,47,18,2,4,Offline TA/TO,ESP,69.0,PMartinez30@xfinity.com
Resort Hotel,1,36,2015,November,47,20,0,2,Groups,PRT,64.0,TaylorHorton@yandex.com
Resort Hotel,0,57,2015,November,48,26,0,3,Online TA,NLD,36.0,Edward.Strickland@att.com
Resort Hotel,1,44,2015,December,49,5,2,1,Groups,PRT,70.0,AmandaSchmidt15@att.com
Resort Hotel,1,22,2016,March,12,18,0,2,Online TA,PRT,93.0,Williams_Victor@outlook.com
Resort Hotel,1,20,2016,March,13,20,2,1,Online TA,PRT,60.0,Jonathan_M@outlook.com
Resort Hotel,0,162,2016,March,13,24,0,3,Groups,ESP,84.0,ZVilla@zoho.com
Resort Hotel,0,136,2016,March,13,24,0,3,Offline TA/TO,PRT,84.0,Donald.W@mail.com
Resort Hotel,1,62,2016,March,14,27,2,4,Online TA,PRT,69.33,Whitehead.Alexa@protonmail.com
Resort Hotel,1,50,2016,April,17,20,2,5,Online TA,PRT,121.0,Duran_Anthony78@aol.com
Resort Hotel,0,189,2016,April,18,26,0,2,Groups,FRA,46.0,Ms..H69@zoho.com
Resort Hotel,1,122,2016,May,19,7,1,1,Online TA,PRT,79.2,SCochran@gmail.com
Resort Hotel,1,54,2016,May,20,13,0,1,Online TA,USA,86.0,Jessica.R@protonmail.com
Resort Hotel,1,22,2016,May,20,13,2,2,Direct,PRT,130.0,BethGates78@outlook.com
Resort Hotel,0,225,2016,May,22,26,1,3,Groups,GBR,72.0,Williams_Melinda80@protonmail.com
Resort Hotel,1,172,2016,July,27,2,2,6,Online TA,PRT,134.1,RickyGay@verizon.com
Resort Hotel,1,144,2016,July,28,8,0,2,Online TA,PRT,166.0,Jaime.Hill@protonmail.com
Resort Hotel,1,181,2016,July,30,17,2,5,Online TA,PRT,152.86,Connie_J@xfinity.com
Resort Hotel,1,44,2016,August,32,5,2,2,Online TA,PRT,186.88,ROneal@att.com
Resort Hotel,1,125,2016,August,33,7,1,0,Online TA,PRT,189.0,Melissa_G@yandex.com
Resort Hotel,0,304,2016,August,33,12,0,1,Online TA,GBR,216.0,Chavez.Marie60@comcast.net
Resort Hotel,1,100,2016,August,34,20,2,5,Online TA,PRT,281.0,Brenda.Flores@outlook.com
Resort Hotel,1,121,2016,September,36,2,1,2,Online TA,GBR,199.0,SeanMcbride@comcast.net
Resort Hotel,1,12,2016,October,42,11,0,1,Direct,PRT,57.6,Samantha.MD@zoho.com
Resort Hotel,0,339,2016,October,42,11,2,5,Groups,GBR,44.36,Zachary.M@zoho.com
Resort Hotel,0,364,2016,October,42,12,1,4,Groups,GBR,72.0,Megan_H@outlook.com
Resort Hotel,1,123,2016,October,43,19,2,5,Online TA,GBR,58.0,Russell_Cox14@hotmail.com
Resort Hotel,1,95,2016,December,50,5,1,4,Online TA,PRT,39.06,Tammy.L45@aol.com
Resort Hotel,1,248,2016,December,52,22,2,3,Online TA,FRA,55.8,DonnaDean@yahoo.com
Resort Hotel,1,79,2016,December,52,24,2,3,Online TA,MAR,37.8,Diaz.Lauren79@mail.com
Resort Hotel,1,258,2016,December,53,29,4,8,Online TA,GBR,96.5,Mark_Ellis75@protonmail.com
Resort Hotel,0,1,2016,January,2,6,0,2,Corporate,PRT,26.0,Travis_R81@hotmail.com
Resort Hotel,0,5,2016,May,23,30,1,1,Corporate,Unknown,54.0,DMiller@comcast.net
Resort Hotel,0,0,2016,January,5,27,0,1,Corporate,Unknown,25.0,DVM_Dr.95@yandex.com
Resort Hotel,0,88,2015,August,35,23,2,5,Online TA,PRT,236.5,ElizabethHendrix@zoho.com
Resort Hotel,0,40,2015,September,37,6,2,3,Direct,Unknown,174.8,ZacharyHawkins@protonmail.com
Resort Hotel,1,275,2015,October,41,4,2,0,Offline TA/TO,PRT,50.0,Kristopher.Allen@aol.com
Resort Hotel,1,222,2015,September,38,15,1,5,Groups,PRT,49.95,MaryGordon@hotmail.com
Resort Hotel,1,177,2015,August,33,15,2,5,Offline TA/TO,PRT,119.7,SWilliams@yahoo.com
Resort Hotel,0,6,2015,November,46,9,1,3,Corporate,PRT,25.0,Laura.H@yandex.com
Resort Hotel,0,6,2015,August,32,4,0,3,Online TA,GBR,191.0,Simpson.Alexandra@outlook.com
Resort Hotel,0,107,2015,August,32,5,0,3,Offline TA/TO,FRA,166.0,ChristopherMccarthy53@hotmail.com
Resort Hotel,0,126,2015,August,32,3,2,5,Offline TA/TO,PRT,134.1,Tommy.O88@protonmail.com
Resort Hotel,0,70,2015,August,33,10,1,2,Direct,FRA,166.0,Alan.G@protonmail.com
Resort Hotel,0,28,2015,August,33,11,0,4,Direct,PRT,207.0,Kyle_Riley@zoho.com
Resort Hotel,1,266,2015,September,39,24,2,4,Offline TA/TO,PRT,34.0,Williams.Heather78@aol.com
Resort Hotel,0,37,2015,September,37,7,1,3,Online TA,ESP,186.0,MaryUnderwood65@mail.com
Resort Hotel,0,69,2015,September,37,10,0,3,Offline TA/TO,ESP,97.5,Johnson.Aaron@verizon.com
Resort Hotel,0,207,2015,September,39,26,1,1,Offline TA/TO,FRA,64.0,StephanieTurner39@protonmail.com
Resort Hotel,0,50,2015,September,40,27,4,6,Offline TA/TO,IRL,86.16,Marsh_Jessica@mail.com
Resort Hotel,0,246,2015,October,41,8,0,1,Offline TA/TO,DEU,41.4,Andre_Delgado@yahoo.com
Resort Hotel,0,287,2015,October,42,15,1,3,Groups,GBR,44.5,Elaine.Brown@zoho.com
Resort Hotel,0,0,2015,November,45,3,0,2,Direct,PRT,40.0,Monique_Villanueva@gmail.com
Resort Hotel,0,0,2015,November,47,16,1,0,Corporate,PRT,35.0,Boyd_Richard13@xfinity.com
Resort Hotel,0,2,2015,December,51,17,0,1,Offline TA/TO,PRT,26.0,Mckee_Christopher90@xfinity.com
Resort Hotel,0,5,2015,November,48,22,2,1,Online TA,FRA,45.2,Jason_Guzman@zoho.com
Resort Hotel,0,11,2015,November,48,27,2,2,Offline TA/TO,ESP,55.4,JSmall@outlook.com
Resort Hotel,1,92,2016,February,9,26,1,2,Groups,PRT,79.0,DanielHamilton90@mail.com
Resort Hotel,1,92,2016,February,9,26,1,2,Groups,PRT,79.0,David_H@protonmail.com
Resort Hotel,0,3,2015,December,50,11,0,1,Online TA,BRA,48.0,Karen_Wilson@att.com
Resort Hotel,0,0,2016,January,4,23,0,1,Offline TA/TO,PRT,29.0,Collins_Andre@mail.com
Resort Hotel,0,12,2016,January,5,30,0,1,Offline TA/TO,LTU,25.0,BJuarez56@xfinity.com
Resort Hotel,0,0,2016,February,9,22,1,0,Corporate,PRT,35.0,Mercer_Mr.@verizon.com
Resort Hotel,0,4,2016,February,7,7,1,0,Direct,PRT,45.0,Webb_Michael@zoho.com
Resort Hotel,0,72,2016,February,6,6,2,1,Groups,PRT,56.67,Kelly_Kimberly54@aol.com
Resort Hotel,0,2,2016,February,7,11,0,2,Direct,ESP,106.0,Kenneth.R@outlook.com
Resort Hotel,0,3,2016,February,8,14,2,2,Direct,PRT,0.0,Wallace_Veronica@zoho.com
Resort Hotel,0,11,2016,March,10,4,0,1,Online TA,DEU,48.0,Keith.Johnson@att.com
Resort Hotel,0,3,2016,March,10,4,0,1,Offline TA/TO,PRT,45.0,Chelsea_Huff@aol.com
Resort Hotel,0,1,2016,March,12,16,0,1,Corporate,PRT,40.0,JenniferMoreno@xfinity.com
Resort Hotel,0,12,2016,March,12,19,2,2,Online TA,ESP,58.0,Woods.Linda@hotmail.com
Resort Hotel,0,7,2016,March,12,19,2,2,Online TA,ESP,60.5,Chris_Wilkerson@yandex.com
Resort Hotel,0,121,2016,March,13,20,2,2,Offline TA/TO,DNK,26.0,GJames@hotmail.com
Resort Hotel,0,3,2016,April,15,8,0,1,Groups,PRT,60.0,Linda_White@comcast.net
Resort Hotel,0,27,2016,April,15,6,0,3,Online TA,GBR,72.67,Taylor.Cardenas@att.com
Resort Hotel,0,0,2016,April,16,12,0,1,Direct,PRT,85.0,Jamie.Evans@verizon.com
Resort Hotel,0,30,2016,April,16,13,0,2,Direct,BEL,63.0,Eric_F@hotmail.com
Resort Hotel,0,36,2016,April,15,9,2,5,Offline TA/TO,IRL,43.4,Megan_Williams39@yandex.com
Resort Hotel,0,33,2016,April,18,25,1,4,Offline TA/TO,USA,37.1,Tyler.L86@verizon.com
Resort Hotel,0,75,2016,April,18,28,2,7,Online TA,NLD,73.0,Lori_G68@outlook.com
Resort Hotel,0,5,2016,May,20,11,0,1,Direct,GBR,84.6,Lopez.Cathy@xfinity.com
Resort Hotel,0,236,2016,May,20,12,0,3,Groups,GBR,48.0,Dana_Liu20@gmail.com
Resort Hotel,0,120,2016,May,20,11,0,4,Online TA,IRL,71.7,Brian_E@zoho.com
Resort Hotel,0,6,2016,May,21,17,0,0,Corporate,PRT,0.0,Jeremy.Clark36@xfinity.com
Resort Hotel,0,24,2016,May,22,22,2,1,Online TA,PRT,90.0,Pamela_M@comcast.net
Resort Hotel,0,150,2016,June,23,4,1,1,Online TA,IRL,85.5,Brian.H@xfinity.com
Resort Hotel,0,116,2016,June,24,10,1,2,Online TA,PRT,88.67,Carolyn.C14@outlook.com
Resort Hotel,0,239,2016,June,24,7,2,7,Offline TA/TO,GBR,106.5,David_Mitchell91@comcast.net
Resort Hotel,0,54,2016,June,25,14,0,2,Online TA,IRL,129.0,George.Powell@yandex.com
Resort Hotel,0,67,2016,June,25,15,2,5,Online TA,GBR,119.0,Tiffany.Garcia@gmail.com
Resort Hotel,0,214,2016,June,26,20,2,5,Offline TA/TO,ROU,68.4,MGreene@verizon.com
Resort Hotel,0,73,2016,July,27,2,2,1,Online TA,PRT,104.8,Joseph.F@yandex.com
Resort Hotel,0,196,2016,July,30,19,2,9,Online TA,PRT,194.73,BGould@xfinity.com
Resort Hotel,0,15,2016,August,32,2,0,5,Online TA,ESP,219.0,Brittany_Simmons@zoho.com
Resort Hotel,0,14,2016,August,34,15,1,4,Online TA,ESP,265.0,April_F@zoho.com
Resort Hotel,0,13,2016,August,34,17,2,4,Direct,ESP,241.0,MHogan@xfinity.com
