hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,country,avg_price_per_room,email
Resort Hotel,0,104,2015,July,28,6,1,5,Online TA,PRT,117.63,Kelly_D@aol.com
Resort Hotel,0,80,2015,July,28,6,3,8,Direct,FRA,73.0,Robinson_Mary34@att.com
Resort Hotel,0,57,2015,July,29,15,0,2,Groups,PRT,148.23,JDuncan@mail.com
Resort Hotel,0,16,2015,July,30,23,0,0,Online TA,PRT,0.0,ChasePerry@yahoo.com
Resort Hotel,1,24,2015,August,31,1,0,1,Online TA,PRT,233.0,AHill@yandex.com
Resort Hotel,1,2,2015,August,32,2,2,0,Online TA,PRT,162.5,Perez_Bryan96@comcast.net
Resort Hotel,0,68,2015,August,34,18,2,5,Online TA,PRT,176.64,Robles.Rodney@att.com
Resort Hotel,0,30,2015,August,35,28,0,1,Direct,ESP,115.0,GregoryWilliams71@xfinity.com
Resort Hotel,0,23,2015,August,35,28,0,2,Direct,ESP,179.0,Joseph_Brooks@att.com
Resort Hotel,0,160,2015,August,36,31,3,7,Offline TA/TO,IRL,87.75,Brittany.M40@comcast.net
Resort Hotel,0,47,2015,September,37,6,2,4,Offline TA/TO,GBR,79.5,LoriMarshall@gmail.com
Resort Hotel,0,135,2015,September,38,14,8,20,Offline TA/TO,GBR,82.0,DebraCaldwell@aol.com
Resort Hotel,0,64,2015,September,39,24,0,3,Online TA,FRA,80.1,Kelly.Harold75@att.com
Resort Hotel,0,45,2015,October,40,1,2,5,Online TA,IRL,57.43,HeatherPorter@comcast.net
Resort Hotel,1,368,2015,October,41,10,2,5,Offline TA/TO,PRT,4.0,Tyler_Lowe@yandex.com
Resort Hotel,0,20,2015,October,42,12,1,0,Corporate,PRT,48.0,Fisher.Kimberly@mail.com
Resort Hotel,0,39,2015,October,43,23,2,2,Online TA,IRL,58.0,Holt_Christian47@yandex.com
Resort Hotel,0,25,2015,October,44,31,2,4,Online TA,PRT,46.65,Tony_Carter@xfinity.com
Resort Hotel,1,42,2015,November,46,10,0,5,Direct,PRT,47.7,Jackson.Paul@outlook.com
Resort Hotel,0,113,2015,December,49,5,2,1,Offline TA/TO,ESP,55.92,Taylor_Christopher@yandex.com
Resort Hotel,1,93,2015,December,51,19,0,1,Groups,PRT,80.0,LauraAnderson@yandex.com
Resort Hotel,0,88,2016,January,1,1,0,2,Online TA,ARG,73.46,Vanessa.T74@outlook.com
Resort Hotel,0,85,2016,January,2,6,0,4,Online TA,BRA,47.4,Melissa.C@verizon.com
Resort Hotel,1,45,2016,March,10,1,0,5,Groups,PRT,81.0,SPhillips73@yahoo.com
Resort Hotel,1,196,2016,March,11,7,1,3,Online TA,PRT,41.4,Andrew.S@verizon.com
Resort Hotel,1,45,2016,March,14,28,1,1,Online TA,PRT,96.0,Jennifer.MD@yahoo.com
Resort Hotel,1,84,2016,April,15,9,2,4,Offline TA/TO,PRT,63.5,Connor.S87@gmail.com
Resort Hotel,1,59,2016,May,20,8,2,0,Offline TA/TO,PRT,41.4,Simmons_Anthony@att.com
Resort Hotel,0,213,2016,May,21,16,1,1,Groups,DEU,85.0,Anthony.P@comcast.net
Resort Hotel,0,223,2016,May,22,24,1,5,Groups,GBR,60.0,Annette_Nelson81@protonmail.com
Resort Hotel,1,59,2016,June,24,9,0,3,Online TA,PRT,119.0,Rodriguez_Cheyenne@yahoo.com
Resort Hotel,1,240,2016,June,24,10,0,2,Direct,PRT,60.35,Kimberly_Conley40@mail.com
Resort Hotel,1,205,2016,June,25,13,2,5,Online TA,PRT,72.0,James_Soto@verizon.com
Resort Hotel,1,115,2016,July,31,25,1,5,Online TA,ESP,173.67,ASingleton92@mail.com
Resort Hotel,1,168,2016,August,32,6,2,6,Online TA,PRT,180.0,Anna.T@aol.com
Resort Hotel,1,165,2016,August,34,18,0,3,Online TA,DEU,288.0,Eaton_Dana60@comcast.net
Resort Hotel,1,238,2016,September,37,7,0,3,Groups,PRT,89.0,KimberlyPeters@comcast.net
Resort Hotel,1,161,2016,October,43,17,1,1,Online TA,BEL,49.0,DGomez@att.com
Resort Hotel,1,41,2016,October,43,18,0,3,Online TA,ESP,63.67,Johnson_Kenneth@yandex.com
Resort Hotel,1,132,2016,October,43,18,0,4,Online TA,IRL,93.0,BrendaKirk46@yandex.com
Resort Hotel,1,66,2016,November,45,3,2,8,Online TA,PRT,73.8,RebeccaSmith87@xfinity.com
Resort Hotel,1,79,2016,December,52,24,2,3,Online TA,MAR,37.8,Jason_L@gmail.com
Resort Hotel,1,135,2016,December,53,27,0,2,Online TA,ITA,37.8,Archer_Paul@verizon.com
Resort Hotel,0,1,2016,September,38,16,0,1,Corporate,Unknown,58.0,Jessica.S@gmail.com
Resort Hotel,0,1,2016,April,15,7,0,3,Direct,Unknown,75.0,Roberts_Curtis47@att.com
Resort Hotel,0,3,2016,March,12,15,0,5,Online TA,Unknown,60.0,Maria_Mathews71@att.com
Resort Hotel,1,222,2015,September,38,15,1,5,Groups,PRT,49.95,Lee_Shawn71@gmail.com
Resort Hotel,0,0,2016,March,13,22,0,1,Online TA,PRT,53.0,Austin.Scott@yahoo.com
Resort Hotel,1,177,2015,August,33,15,2,5,Offline TA/TO,PRT,119.7,Mark.R@hotmail.com
Resort Hotel,0,237,2015,July,29,13,1,3,Online TA,PRT,85.5,Michelle.H58@att.com
Resort Hotel,0,37,2015,July,30,19,2,3,Direct,PRT,146.95,Stephanie_Lopez@comcast.net
Resort Hotel,0,14,2015,July,30,24,1,2,Online TA,ESP,195.0,Mitchell_M74@mail.com
Resort Hotel,1,243,2015,September,36,4,0,2,Online TA,PRT,110.7,LCastaneda@mail.com
Resort Hotel,1,274,2015,October,40,3,2,5,Groups,PRT,36.05,CSchmitt@outlook.com
Resort Hotel,0,41,2015,August,33,9,2,4,Online TA,ESP,232.0,JohnGilbert91@mail.com
Resort Hotel,0,99,2015,September,36,1,2,5,Online TA,FRA,120.71,AnthonyFranklin56@mail.com
Resort Hotel,0,243,2015,September,36,4,2,5,Offline TA/TO,PRT,132.19,James_B66@xfinity.com
Resort Hotel,0,37,2015,September,37,9,0,3,Offline TA/TO,ESP,97.5,MargaretPorter30@att.com
Resort Hotel,0,262,2015,September,39,21,1,3,Groups,BEL,89.2,RebeccaSimon@hotmail.com
Resort Hotel,0,81,2015,September,39,22,0,4,Online TA,USA,97.0,Warren.Jose@verizon.com
Resort Hotel,0,59,2015,October,40,3,2,5,Offline TA/TO,GBR,67.14,HSalinas@mail.com
Resort Hotel,0,287,2015,October,42,15,1,3,Groups,GBR,44.5,David.Johnson79@yandex.com
Resort Hotel,0,292,2015,October,43,21,0,2,Offline TA/TO,FRA,60.0,Brandi_F@yandex.com
Resort Hotel,0,1,2015,November,47,19,0,1,Corporate,PRT,38.0,Taylor_Robert@xfinity.com
Resort Hotel,0,1,2015,November,48,24,0,1,Online TA,UKR,48.0,Brianna.B@hotmail.com
Resort Hotel,0,1,2015,November,48,27,0,2,Online TA,CHE,46.4,Sean.C@yahoo.com
Resort Hotel,1,159,2016,May,20,8,2,2,Online TA,PRT,88.2,Gomez.Joseph56@yahoo.com
Resort Hotel,0,1,2015,December,49,3,0,1,Corporate,PRT,29.78,Stephen.Williams@zoho.com
Resort Hotel,0,0,2015,December,50,8,0,1,Direct,PRT,48.0,SMason50@outlook.com
Resort Hotel,0,1,2015,December,50,12,0,1,Direct,PRT,79.0,BStone64@aol.com
Resort Hotel,0,23,2015,December,50,9,1,4,Offline TA/TO,ESP,49.4,Bowers.Miguel@mail.com
Resort Hotel,0,1,2015,December,51,15,0,4,Online TA,PRT,34.0,MaxwellBenson@protonmail.com
Resort Hotel,0,0,2015,December,52,23,0,2,Online TA,PRT,107.5,Joy.Gonzales48@yahoo.com
Resort Hotel,0,47,2015,December,52,23,1,4,Offline TA/TO,IRL,49.0,Jones_Mathew31@xfinity.com
Resort Hotel,0,32,2016,January,2,3,2,3,Offline TA/TO,GBR,39.15,Daniel_Hamilton@att.com
Resort Hotel,0,8,2016,January,2,8,0,2,Online TA,MAR,48.0,SteveBurns@outlook.com
Resort Hotel,0,3,2016,January,3,15,0,1,Online TA,PRT,48.0,Brown_Joshua@yahoo.com
Resort Hotel,0,0,2016,January,5,29,0,1,Direct,PRT,58.0,Amber_Griffin@protonmail.com
Resort Hotel,1,2,2016,April,15,6,0,2,Direct,PRT,50.4,Bishop_Thomas@aol.com
Resort Hotel,0,1,2016,February,6,6,0,1,Online TA,PRT,48.0,JBarber@yandex.com
Resort Hotel,0,3,2016,February,6,6,0,1,Direct,PRT,40.0,David.Strickland@gmail.com
Resort Hotel,0,2,2016,February,8,20,0,1,Online TA,ESP,66.0,Rebecca_Jones@hotmail.com
Resort Hotel,0,5,2016,February,8,20,0,1,Direct,PRT,65.0,Janice.James63@hotmail.com
Resort Hotel,0,13,2016,February,10,28,2,4,Online TA,ESP,31.45,Dr..P@zoho.com
Resort Hotel,0,27,2016,March,12,18,2,2,Offline TA/TO,GBR,37.0,Margaret_C22@yandex.com
Resort Hotel,0,21,2016,March,13,24,0,3,Direct,ESP,85.0,SRoberts@verizon.com
Resort Hotel,0,39,2016,March,13,25,1,2,Online TA,GBR,110.33,ChloeWatson@aol.com
Resort Hotel,0,8,2016,April,15,6,1,4,Online TA,IRL,65.0,Elizabeth.D13@mail.com
Resort Hotel,0,0,2016,April,15,7,0,1,Online TA,PRT,56.0,JLiu53@protonmail.com
Resort Hotel,0,52,2016,April,15,7,1,3,Direct,PRT,74.7,Joseph_S@verizon.com
Resort Hotel,0,49,2016,April,15,6,2,5,Offline TA/TO,FRA,63.0,TCampos@outlook.com
Resort Hotel,0,57,2016,April,16,13,0,2,Online TA,ITA,58.0,Thomas.B@yahoo.com
Resort Hotel,0,62,2016,May,19,1,1,0,Online TA,FRA,86.0,Mary_Paul@outlook.com
Resort Hotel,0,102,2016,May,19,6,0,2,Online TA,FRA,88.0,Wang.Donald@zoho.com
Resort Hotel,0,115,2016,May,20,13,0,0,Offline TA/TO,PRT,0.0,Sandra.T@mail.com
Resort Hotel,0,11,2016,May,21,16,1,1,Direct,PRT,42.0,NDavis72@comcast.net
Resort Hotel,0,7,2016,May,23,29,2,1,Online TA,PRT,101.67,Liu_Michelle57@aol.com
Resort Hotel,0,2,2016,May,23,30,1,2,Offline TA/TO,ESP,68.8,Rhonda_Olson@gmail.com
Resort Hotel,0,131,2016,May,22,25,2,6,Direct,GBR,94.14,Jeremiah.Carpenter@yandex.com
Resort Hotel,0,21,2016,June,24,5,2,2,Online TA,PRT,121.0,Adam_Roberts@mail.com
Resort Hotel,0,2,2016,June,26,25,1,1,Online TA,PRT,122.23,Patterson.Emma@verizon.com
Resort Hotel,0,0,2016,July,29,14,2,3,Direct,ESP,182.6,Justin.Lindsey@comcast.net
Resort Hotel,0,197,2016,July,30,22,2,5,Offline TA/TO,GBR,143.05,Natalie.Craig@hotmail.com
Resort Hotel,0,149,2016,July,30,23,2,5,Offline TA/TO,NOR,121.7,Heather_Harrison77@gmail.com
Resort Hotel,0,152,2016,July,32,31,2,4,Offline TA/TO,PRT,194.0,Wilson_Amber32@yahoo.com
