hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,country,avg_price_per_room,email
Resort Hotel,0,70,2015,July,27,2,2,3,Direct,ROU,137.0,Amy.Green56@gmail.com
Resort Hotel,0,102,2015,July,30,21,2,5,Offline TA/TO,CHE,95.57,Ward.Alyssa@yandex.com
Resort Hotel,0,1,2015,August,35,27,0,1,Online TA,PRT,153.0,SRodgers@gmail.com
Resort Hotel,1,32,2015,September,37,6,1,0,Offline TA/TO,PRT,149.0,Charles_Lewis@zoho.com
Resort Hotel,0,0,2015,September,37,12,2,5,Offline TA/TO,DEU,58.05,MatthewBrady@zoho.com
Resort Hotel,1,347,2015,September,38,19,2,5,Offline TA/TO,PRT,0.0,Yvette.Noble14@yandex.com
Resort Hotel,1,78,2015,October,41,9,1,2,Groups,ESP,92.0,Daniel_R@yahoo.com
Resort Hotel,0,61,2015,October,44,27,2,5,Offline TA/TO,PRT,49.01,Brown.Raymond40@outlook.com
Resort Hotel,0,155,2015,October,44,31,0,1,Groups,PRT,36.0,Carroll.Kevin12@zoho.com
Resort Hotel,0,14,2015,November,48,26,0,3,Online TA,IRL,64.0,ArthurPowers@aol.com
Resort Hotel,0,103,2015,December,51,14,1,4,Online TA,GBR,26.95,LGonzalez@yahoo.com
Resort Hotel,0,49,2015,December,51,17,6,13,Offline TA/TO,DEU,45.33,Erik_J@gmail.com
Resort Hotel,0,99,2015,December,52,23,2,4,Online TA,IRL,37.67,CynthiaLogan@verizon.com
Resort Hotel,1,99,2016,January,3,12,2,10,Online TA,PRT,41.4,Bowman.Eric@verizon.com
Resort Hotel,1,155,2016,February,6,6,2,2,Online TA,PRT,59.4,Thomas_Paul83@gmail.com
Resort Hotel,1,112,2016,February,7,12,0,2,Groups,PRT,68.0,AnnaWilliams@aol.com
Resort Hotel,0,108,2016,February,8,20,4,10,Offline TA/TO,GBR,63.9,Mr._M@yandex.com
Resort Hotel,1,65,2016,March,11,12,2,3,Offline TA/TO,PRT,34.2,Robert_B@yandex.com
Resort Hotel,1,67,2016,March,14,27,2,4,Online TA,PRT,50.67,Jessica.Martinez@comcast.net
Resort Hotel,0,169,2016,March,14,31,1,3,Groups,BEL,60.0,Bonnie_P@mail.com
